error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),gpt-realtime-2025-08 (control),gpt-realtime-2025-08 (control_accents),gpt-realtime-2025-08 (control_audio),gpt-realtime-2025-08 (control_behavior),gpt-realtime-2025-08 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: User Olivia_Gonzalez_ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 12352355123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Lucas_Brown_Brown not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 1232320002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Omar_rossi_1241 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User ONAR_ROSSI_1241 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User R9PJS not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User OMAR_DAVIS not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 12355550023 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Noah_Nuller_9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User RAJ_Sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 1255555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User RTIA_5901 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Noah_Muller9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Raj_Sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Noah_Muller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SCHIA_EAYLOR_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SCHIA_TAYLOR_90 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SOFIA_kim_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User Livia_Gonzalez_2305 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Sophia_Taylor_90640 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SOPHIA_SILVA_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 1232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Noah_Mueller_9847 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_ILVA not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User SOPHIA_CAYLOR_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555123001 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Sophia_Taylor_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User lucas_brown_123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User omar_marrossi_1241 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User olivia_gonzales_2305 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 002-555-123-4567 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 12002202 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohameda_silva_9265 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User mohamed_hrnandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamed_hrnan_dez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamed_hernandez_45188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User mohamed_fernandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamed_ernandez_5188 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User mohamd_silva_9265 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User moh_amd_silva_9265 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User moh_amd_s_il_g_a_9265 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User moe_m_p_d_silva_9265 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User mia_lee_3668 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User mia_d_3668 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User me_brown_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User raj_brown_5 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sara_g not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User schoolbrownEI_crown_NW_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sopsia_ea557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User yare_rcia_1905 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User thomas_silva_9265 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User taylor_906 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User taiki_lee_6444 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User syke_mueller_1116 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User sosia_cim_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sopsia_siva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sopo4fa_57 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User schoolbrownEI_crown_fin075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sophia_silva_757 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +33 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User sofia_silva_557 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User sochia_s_557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sia_kim_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User sia_ci_7287 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User si_filva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User may_brown not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: User liam_khan_0501 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User Sophia_silva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User lia_kim_4397 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User aaraz_ahmez_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User aarav_med_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User aarav_kapadia_1177 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User aarav_g_k_1177 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User aarav_ahmev_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User a_a_r_a_z_g_a_r_c_i_a_1177 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User _sanchez_7340 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _rabcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _gargia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _gardia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _ara_garcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User _ar_garcia_1177 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User YAX4ZR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User YARA_Garcia_1905 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 123-555-8912 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User THAN_MARTIN_2396 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Sophia_underscore_Silva_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User aareef_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User amelia_davis_h890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User amelia_doe_8890 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User arv_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User kim_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User kaiki_muller_1116 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User ivan_rossi_855 not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User is_gonzales_2305 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User fochia_sia_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User fia_taylor_9065 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User daiki_lee_144 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User arcia_1177 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User amelia_roxy_1297 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 1200552002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1220012300 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User araf_garcia_1177 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: User araf_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User anwaye_gerci_5901 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User LIAMM_AHAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1223255550 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIAM_AHAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 512-320 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User LIAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2055 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation BA5SQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation BA5SDQ not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation B7N3P1 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation 8JX2WO not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation 8HQ05L not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation 3RK2E9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation 1N99Q6 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +1-555-123-4567 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Error: Payment amount does not add up, total price is 804, b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Reservation PUP4EZ not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-123-23 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2320 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Error: Payment amount does not add up, total price is 2613, ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Error: Payment amount does not add up, total price is 255, b",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Error: Payment amount does not add up, total price is 1414, ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Error: Payment amount does not add up, total price is 1368, ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +1-555-987-6543 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Number of 7758198585 not found.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation EA5SDQ not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation EUWU56 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation EUWY6 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation FI5UKW not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-1234 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation MTI_BROWN_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation MEI_BROWN_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation M20IVO not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation K9URD9 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation JMOG not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation JM01MG not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation I5UKW not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation HXUBJ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation HXDUVJ not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Reservation HX-DUBJ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 555-123-2000 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation HHQ05 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation H9ZUC not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation H9Z1C not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation H8Q0 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation GB1N not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2345-002 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Number of 5753502325 not found.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-123-555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: New item 1631806422 not found or available,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Error: Line must be suspended to resume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 555-5123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-555-123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5550123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 55512200 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Flight HAT039 not found on date 2026-03-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Flight 9XX6W not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Flight 12045 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Flight 045 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 555123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number incoming_caller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number JOHN SMITH not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 655-123-2002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5551230 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5552355555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5551234567 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: New item 1434748144 not found or available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Error: New item 2343503231 not found or available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Error: Customer with phone number 555-1230 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-4567 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Number of 1615379700 not found.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Number of 1008292230 not found.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Not enough seats on flight HAT271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Not enough seats on flight HAT229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Not enough balance in payment method gift_card_802079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Not enough balance in payment method gift_card_613609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Not enough balance in payment method certificate_7504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Not enough balance in payment method certificate_3765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-1230055 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number +1234567890 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +155512002 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: New item 7441167885 not found or available,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Error: Customer with phone number 555-230-002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: New item 5484530610 not found or available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Error: New item 4648814700 not found or available,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-347-8921 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: New item 3478699712 not found or available,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation PEE40 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation TB1N64 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User KIM_7287 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 512-320-02 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Arev_MED not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Arev_66 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Arav_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Arav_Ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Anya_Garcia not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Amelia_Sanchez_473 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Amelia_Rossi_1297 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Amelia_Davis_H890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User Amelia_Davis_889 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation V5SGQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Amelia R. Davis_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User ANYA_GARCIA not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User ANYA_GAR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AMELIA_ROSSI_12 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AMELIA_ROSSI not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AMELIA_DAVIS_H890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: User AMEIA_DNEIS_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AAR__THME not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User ETHAN_MARTIN_2396 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Emma_Kim_9957 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 20 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ethan_Martins_23 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User KIKI_ULLE_1116 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Jane's_underscore_Taylor_underscore_7043 not fou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User James_Taylor_7043 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User James_Patel98 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User JAAmes_Lee_6136 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ivan_Rossi_8555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ivan_Rossi_555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Ivan_Muller_7015 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ivan_Muller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
