error_category,gemini-live-2.5-flas (control),gemini-live-2.5-flas (control_accents),gemini-live-2.5-flas (control_audio),gemini-live-2.5-flas (control_behavior),gemini-live-2.5-flas (regular),gpt-realtime-1.5 (control),gpt-realtime-1.5 (control_accents),gpt-realtime-1.5 (control_audio),gpt-realtime-1.5 (control_behavior),gpt-realtime-1.5 (regular),xai-realtime (control),xai-realtime (control_accents),xai-realtime (control_audio),xai-realtime (control_behavior),xai-realtime (regular),TOTAL
Error: Customer with phone number 1255555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: New item 8030558068 not found or available,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Error: New item 5484530610 not found or available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Error: New item 3609437808 not found or available,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Error: New item 3478699712 not found or available,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: New item 2343503231 not found or available,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Error: Line must be suspended to resume,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ivan_Rossi_8555 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 20 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Invalid reason,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Error: Invalid characters in expression,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Gift card balance is not enough,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Flight HAT039 not found on date 2026-03-03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Flight 9XX6W not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Flight 12045 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 12352355123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1232320002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Not enough balance in payment method certificate_3765,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Not enough balance in payment method certificate_7504,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation B7N3P1 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation 8JX2WO not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation 8HQ05L not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation 3RK2E9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation 3RK29 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation 1N99Q6 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 1231232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Error: Payment amount does not add up, total price is 2613, ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Error: Payment amount does not add up, total price is 1368, ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 1232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Number of 7758198585 not found.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Number of 5753502325 not found.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Number of 1615379700 not found.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Number of 1008292230 not found.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Not enough seats on flight HAT229,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Flight 045 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number incoming_caller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 655-123-2002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-23 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2000 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-1234 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-0022 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Customer with phone number 555-123-0010 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 512-320-02 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-0 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 512-555-123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-1200 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-005-5532003 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5523523 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 551234002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 55123002 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 5512123002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 550051232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 55-123 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 555-123-2055 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2320 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5552355555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-2345-002 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555232002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5551234567 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 512-320 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555123001 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5551230 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 55512200 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5550123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-555-123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-5123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-4567 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 555-230-002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-1230055 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-1230 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 555-123-555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation BA5SDQ not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation EA5SDQ not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation FI5UKW not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Arav_Ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Amelia_Sanchez_473 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Amelia_Rossi_1297 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Amelia_Davis_889 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Amelia R. Davis_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User ANYA_GARCIA not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User ANYA_GAR not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AMELIA_ROSSI_12 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AMELIA_ROSSI not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 5235232023 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User AAR__THME not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User AAR_AHMED_6699 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User AARAV_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Unknown ID format or type: customer_id,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Tool 'toggle_roaming' not found.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: 5753502325 not found,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Error: User Anya_Garcia not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Arav_ahmed_6699 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with ID 123 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Arev_66 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Ivan_Rossi_555 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Ivan_Muller_7015 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Ivan_Muller not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IVAN_ROSSI_8555 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User IOAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IA_LI_3668 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IA_ILBA_7557 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IANAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IAMKM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User IAM not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User HAN not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Ethan_Martins_23 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: User Emma_Kim_9957 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User ETHAN_MARTIN_2396 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: User Arev_MED not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Certificate cannot be used to update reservation,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +1234567890 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation GB1N not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation X E W R D 9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation V5SGQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation PUP4EZ not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation MTI_BROWN_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation MEI_BROWN_7075 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation M20IVO not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation K9URD9 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation JMOG not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation JM01MG not found,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Error: Reservation I5UKW not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation HXUBJ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation HX-DUBJ not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation HHQ05 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation H9ZUC not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation H9Z1C not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation H8Q0 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation W R D 9 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation XCHM4B not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number +155512002 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation XEQRD9 not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number +1555123002 not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Tool 'check_installed_apps' not found.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: Customer with phone number 002-555-123-4567 not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Customer with phone number 12002202 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1200552002 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1220012300 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Customer with phone number 1223255550 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: RetailTools.get_product_details() got an unexpected k,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: RetailTools.get_order_details() got an unexpected key,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Error: RetailTools.get_item_details() got an unexpected keyw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation x c u b d not found,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Error: Reservation ZFA04Y not found,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Error: Reservation ZA5SGQ not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Error: Reservation YFOYYZ not found,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Error: Reservation XEWURD9 not found,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Error: User AMEIA_DNEIS_8890 not found,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
